n_updates,qf2_loss,ep_rewmean,episodes,mean 100 episode reward,policy_loss,ent_coef,qf1_loss,current_lr,ent_coef_loss,total timesteps,fps,time_elapsed,value_loss,eplenmean,entropy
49514,0.0002672773,-140.28,244,-140.3,2.3058674,0.0020322287,0.0005048814,0.001,-1.1957183,49545,259,190,0.00038481515,140.28,0.9050784
50020,0.00025569476,-138.18,248,-138.2,2.4560013,0.0021067725,0.00045227451,0.001,-0.18432796,50051,224,222,0.00071215694,138.18,0.91628754
50534,6.599547e-05,-135.68,252,-135.7,2.4013906,0.002119809,0.00029081161,0.001,0.625365,50565,225,224,0.0002614899,135.68,0.95027477
51092,3.7329526e-05,-135.1,256,-135.1,2.4812143,0.0020339882,0.00014698351,0.001,0.10573202,51123,226,226,0.00014532341,135.1,0.92295825
51591,7.621721e-05,-133.09,260,-133.1,2.3764818,0.0020662001,0.00022250961,0.001,3.0450313,51622,226,227,0.00020179118,133.09,0.89143634
52062,5.2749707e-05,-132.3,264,-132.3,2.3677623,0.0022217294,0.0003980329,0.001,0.11087224,52093,227,229,0.0002580813,132.3,0.8788688
52575,0.00012973524,-131.57,268,-131.6,2.5012674,0.0022336403,0.0001648916,0.001,1.1815022,52606,228,230,0.00045197355,131.57,0.90792793
53043,0.0001400995,-130.77,272,-130.8,2.427647,0.0023038327,0.00031107725,0.001,0.21966395,53074,228,232,0.0002203004,130.77,0.94326603
53562,5.5375407e-05,-129.13,276,-129.1,2.3561192,0.0023198423,0.0008984173,0.001,2.8687513,53593,229,233,0.0004956133,129.13,0.9067892
54046,3.8491897e-05,-128.51,280,-128.5,2.312235,0.0022651872,0.00046706258,0.001,-0.38059336,54077,229,235,0.0019190437,128.51,0.8707684
54697,7.918077e-05,-130.31,284,-130.3,2.0801902,0.0022488253,0.0003164734,0.001,-1.1329378,54728,230,237,0.0002915057,130.31,0.9542061
55245,9.458696e-05,-130.18,288,-130.2,2.4302568,0.0023298815,0.0010087545,0.001,-1.0709729,55276,230,239,0.00073734403,130.18,0.87434745
55827,8.665121e-05,-130.76,292,-130.8,2.1442862,0.002296839,0.000362322,0.001,0.6092876,55858,231,241,0.00024337706,130.76,0.8856534
56299,0.00012872572,-130.31,296,-130.3,2.158896,0.0021603778,0.000368077,0.001,0.7498567,56330,232,242,0.0009177183,130.31,0.9347452
56858,7.7360266e-05,-129.14,300,-129.1,2.2998476,0.0022066492,0.0003267574,0.001,0.8453891,56889,232,244,0.00022857239,129.14,0.9025379
57364,0.00011228079,-128.91,304,-128.9,2.2228472,0.0021309287,0.00047293262,0.001,-1.6071168,57395,233,245,0.0008075092,128.91,0.9000286
57895,8.273767e-05,-129.01,308,-129.0,2.2366033,0.0021135835,0.00071509974,0.001,1.4759319,57926,233,247,0.0004187334,129.01,0.95557326
58367,8.727732e-05,-128.63,312,-128.6,2.1899996,0.0021065385,0.00036330393,0.001,1.9753586,58398,234,249,0.00042632775,128.63,0.93628335
58837,1.8455969e-05,-127.92,316,-127.9,2.4164205,0.0020886539,0.000106783744,0.001,-3.5860102,58868,234,250,4.769886e-05,127.92,0.9617007
59332,9.387694e-05,-128.17,320,-128.2,2.609848,0.0020687704,0.00044862228,0.001,-2.5751805,59363,235,252,0.0004211348,128.17,0.97261965
59881,9.7321565e-05,-128.98,324,-129.0,2.4141777,0.0020593817,0.00076583517,0.001,-0.3929854,59912,236,253,0.00060691364,128.98,0.94990057
