#{"t_start": 1600175509.721128, "env_id": null}
r,l,t
130.0,130,56.845098
117.0,117,56.976032
127.0,127,57.114488
127.0,127,57.252273
120.0,120,57.390627
127.0,127,57.530662
248.0,248,57.802781
203.0,203,58.021171
253.0,253,58.294282
229.0,229,58.543639
179.0,179,58.740136
130.0,130,58.878345
163.0,163,59.056599
163.0,163,59.23678
172.0,172,59.417784
128.0,128,59.560027
146.0,146,59.722643
169.0,169,59.912477
170.0,170,60.094503
114.0,114,60.224034
128.0,128,60.359666
142.0,142,60.513628
133.0,133,60.661605
181.0,181,60.866655
125.0,125,61.005787
134.0,134,61.154008
124.0,124,61.288382
189.0,189,61.497604
143.0,143,61.649414
200.0,200,61.865498
147.0,147,62.019498
137.0,137,62.168393
131.0,131,62.305351
304.0,304,62.625116
152.0,152,62.787645
170.0,170,62.966942
139.0,139,63.116506
120.0,120,63.247534
167.0,167,63.424931
156.0,156,63.597638
165.0,165,63.776614
154.0,154,63.949714
132.0,132,64.096333
150.0,150,64.260428
143.0,143,64.413349
223.0,223,66.184184
186.0,186,66.381448
125.0,125,66.51622
131.0,131,66.651495
129.0,129,66.792604
132.0,132,66.937751
146.0,146,67.089933
139.0,139,67.236365
235.0,235,67.494187
150.0,150,67.65751
152.0,152,67.829736
134.0,134,67.979361
118.0,118,68.110665
167.0,167,68.302958
146.0,146,68.463897
130.0,130,68.605168
130.0,130,68.749297
213.0,213,68.996045
114.0,114,69.121478
122.0,122,69.255915
130.0,130,69.398174
114.0,114,69.525203
122.0,122,69.659674
125.0,125,69.797748
124.0,124,69.935812
115.0,115,70.064437
124.0,124,70.203973
127.0,127,70.346817
157.0,157,70.521628
255.0,255,70.815505
177.0,177,71.014798
130.0,130,71.169285
149.0,149,71.341843
204.0,204,71.584249
241.0,241,71.87141
164.0,164,72.058237
176.0,176,72.264533
131.0,131,72.412921
160.0,160,72.593851
158.0,158,72.77318
190.0,190,72.989641
192.0,192,73.213376
226.0,226,73.464387
237.0,237,73.736639
174.0,174,73.920289
193.0,193,74.135301
349.0,349,74.52808
175.0,175,74.718567
149.0,149,74.89333
161.0,161,75.076752
156.0,156,75.24634
147.0,147,75.415419
168.0,168,75.604941
201.0,201,75.83431
161.0,161,76.010914
174.0,174,76.192754
160.0,160,76.363421
147.0,147,76.526176
149.0,149,76.691445
149.0,149,76.848874
170.0,170,77.029193
165.0,165,79.03712
157.0,157,79.196001
159.0,159,79.362467
146.0,146,79.514624
177.0,177,79.700067
