total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
352256,0.02427102,0.02327025,0.001953125,22016,63.45530581474304,-0.001251594,0.000115506846,0.9793061558157206,7883,1376,121.28,-121.28
352512,0.023346562,0.05816328,0.0014648438,22032,63.488019943237305,-0.00078332087,0.00015983236,0.9788406509906054,7805,1377,120.82,-120.82
352768,0.01833161,0.031387456,0.0034179688,22048,63.52109098434448,-0.00040846877,0.00018922472,0.9636960662901402,7985,1378,120.82,-120.82
353024,0.037871122,0.07173103,0.005859375,22064,63.55340600013733,-0.0034736085,0.0007261088,0.9524074494838715,7969,1379,120.4,-120.4
353280,0.025414377,0.023163524,0.0048828125,22080,63.58576989173889,0.0004242187,0.0002501619,0.963797502219677,7818,1380,120.4,-120.4
353536,0.019503659,0.042373985,0.0043945312,22096,63.61880970001221,-0.001483717,0.0005166615,0.9730123672634363,7895,1381,120.4,-120.4
353792,0.027240997,0.015524123,0.0,22112,63.651474952697754,4.9069524e-05,5.438466e-06,0.9740850329399109,7809,1382,121.17,-121.17
354048,0.024991449,0.020557094,0.00048828125,22128,63.68452787399292,-0.000679597,5.104487e-05,0.9770346600562334,7751,1383,121.2,-121.2
354304,0.061465062,0.08196205,0.00048828125,22144,63.71782398223877,0.00010307296,5.632828e-05,0.9066866263747215,7904,1384,121.35,-121.35
354560,0.042431608,0.027583998,0.0034179688,22160,63.750494956970215,-0.0012388075,0.00020822432,0.9393313899636269,8011,1385,121.35,-121.35
354816,0.03443864,0.08146617,0.011230469,22176,63.78272104263306,-0.0007758057,0.0010327138,0.9639590233564377,7643,1386,121.72,-121.72
355072,0.023249999,0.033418834,0.00390625,22192,63.816524028778076,-0.0012155909,0.0001981644,0.9648372419178486,7650,1387,121.8,-121.8
355328,0.014209209,0.048042886,0.00048828125,22208,63.85026979446411,-0.00049771334,7.963179e-05,0.9873151853680611,7968,1388,121.8,-121.8
355584,0.017814249,0.040020354,0.0,22224,63.88264298439026,0.00029029197,2.5877765e-05,0.9894291907548904,7843,1389,121.38,-121.38
355840,0.015972765,0.04573231,0.0014648438,22240,63.91554307937622,-0.0019322367,0.00013183067,0.9873748496174812,7885,1390,121.42,-121.42
356096,0.0051844465,0.05700856,0.0029296875,22256,63.94829487800598,-0.00028552138,0.00025702483,0.9959417548961937,7887,1391,122.17,-122.17
